"dataSource","Class"
"ANAG-Pilot3b","https://w3id.org/def/saref4bldg#Building"
"ANAG-Pilot3b","https://w3id.org/platoon/NonResidentialBuilding"
"CALE-Pilot3b","https://w3id.org/platoon/Calendar"
"OCCU-C-Pilot3b","https://w3id.org/platoon/Occupancy"
"OCCU-E-Pilot3b","https://w3id.org/platoon/Occupancy"
"EC-TOT-Pilot3b","https://w3id.org/seas/Evaluation"
"EC-SB-Pilot3b","https://w3id.org/seas/Evaluation"
"BS-Pilot3b","https://w3id.org/seas/BuildingDevice"
"BS-Pilot3b","https://w3id.org/def/saref4bldg#EnergyConversionDevice"
"FAULT-Pilot3b","https://w3id.org/platoon/Damage"
"MANT-Pilot3b","https://w3id.org/platoon/ScheduledMaintenance"
