"dataSource","Class"
"SCADA-Pilot3c","https://w3id.org/bot#Building"
"SCADA-Pilot3c","https://w3id.org/seas/Building"
"SCADA-Pilot3c","https://w3id.org/platoon/HVAC"
"SCADA-Pilot3c","https://w3id.org/def/saref/coreHVAC"
"SCADA-Pilot3c","https://w3id.org/platoon/Boiler"
"SCADA-Pilot3c","https://w3id.org/def/saref4bldg#Boiler"
"SCADA-Pilot3c","https://w3id.org/platoon/Pump"
"SCADA-Pilot3c","https://w3id.org/def/saref4bldg#Pump"
"SCADA-Pilot3c","https://w3id.org/platoon/Chiller"
"SCADA-Pilot3c","https://w3id.org/def/saref4bldg#Chiller"
"SCADA-Pilot3c","https://w3id.org/platoon/Burner"
"SCADA-Pilot3c","https://w3id.org/def/saref4bldg#Burner"
"SCADA-Pilot3c","https://w3id.org/def/saref/coreTemperatureSensor"
"SCADA-Pilot3c","https://w3id.org/def/saref4bldg#FlowMeter"
"SCADA-Pilot3c","https://w3id.org/bot#Floor"
"SCADA-Pilot3c","https://w3id.org/platoon/DomesticHotWaterSystem"
"SCADA-Pilot3c","https://w3id.org/platoon/GasSystem"
"SCADA-Pilot3c","https://w3id.org/platoon/AirHandlerUnit"
"SCADA-Pilot3c","https://w3id.org/platoon/Fancoil"
"SCADA-Pilot3c","https://w3id.org/platoon/ThermalEnergyMeter"
"SCADA-Pilot3c","http://elite.polito.it/ontologies/dogont.owl#TemperatureSensor"
"SCADA-Pilot3c","https://w3id.org/platoon/PressureDropProperty"
"SCADA-Pilot3c","https://w3id.org/platoon/PressureDropEvaluation"
"SCADA-Pilot3c","https://w3id.org/seas/ElectricPowerProperty"
"SCADA-Pilot3c","https://w3id.org/platoon/hasPowerConsumption"
"SCADA-Pilot3c","https://w3id.org/seas/ElectricPowerEvaluation"
"SCADA-Pilot3c","https://w3id.org/platoon/EnergyConsumptionProperty"
"SCADA-Pilot3c","https://w3id.org/platoon/EnergyConsumptionEvaluation"
"SCADA-Pilot3c","https://w3id.org/platoon/GasEnergyConsumptionProperty"
"SCADA-Pilot3c","https://w3id.org/platoon/hasTotalGasEnergyConsumption"
"SCADA-Pilot3c","https://w3id.org/platoon/GasEnergyConsumptionEvaluation"
"SCADA-Pilot3c","https://w3id.org/platoon/hasSupplyAirTemperature"
"SCADA-Pilot3c","https://w3id.org/platoon/AirTemperatureProperty"
"SCADA-Pilot3c","https://w3id.org/platoon/AirTemperatureEvaluation"
"SCADA-Pilot3c","https://w3id.org/platoon/AirTemperatureProperty"
"SCADA-Pilot3c","https://w3id.org/platoon/hasReturnAirTemperature"
"SCADA-Pilot3c","https://w3id.org/platoon/AirTemperatureEvaluation"
"SCADA-Pilot3c","https://w3id.org/platoon/HeatRecoveryChiller"
"SCADA-Pilot3c","https://w3id.org/platoon/Steamer"
"SCADA-Pilot3c","https://w3id.org/platoon/Condenser"
"SCADA-Pilot3c","https://w3id.org/platoon/Compressor"
