"dataSource","Class"
"MicroGridPVPowerPilot4a","https://w3id.org/platoon/SmartMicroGrid"
"MicroGridPVPowerPilot4a","https://w3id.org/platoon/PhotovoltaicEnergyProductionProperty"
"MicroGridPVPowerPilot4a","https://w3id.org/platoon/PhotovoltaicEnergyProductionEvaluation"
"MicroGridPVPowerPilot4a","https://w3id.org/platoon/ForecastOfPhotovoltaicEnergyProductionProperty"
"MicroGridBatteryPilot4a","https://w3id.org/platoon/StorageSystem"
"MicroGridBatteryPilot4a","https://w3id.org/seas/Battery"
"MicroGridWeatherStationPilot4a","https://w3id.org/seas/EducationalBuilding"
"MicroGridPWPPilot4a","https://w3id.org/platoon/WaterProductionSystem"
"MicroGridPWPPilot4a","https://w3id.org/platoon/WaterSystem"
"MicroGridWeatherStationPilot4a","https://w3id.org/platoon/ForecastOfAirTemperatureProperty"
"MicroGridWeatherStationPilot4a","https://w3id.org/platoon/AirTemperatureEvaluation"
"MicroGridWeatherStationPilot4a","https://w3id.org/seas/Forecast"
"MicroGridWeatherStationPilot4a","https://w3id.org/platoon/ForecastOfSolarRadiationProperty"
"MicroGridWeatherStationPilot4a","https://w3id.org/platoon/SolarRadiationEvaluation"
"MicroGridWeatherStationPilot4a","https://w3id.org/platoon/ForecastOfWindSpeedProperty"
"MicroGridWeatherStationPilot4a","https://w3id.org/seas/WindSpeedEvaluation"
"MicroGridWeatherStationPilot4a","https://w3id.org/platoon/ForecastOfPressureProperty"
"MicroGridWeatherStationPilot4a","https://w3id.org/seas/PressureEvaluation"
"MicroGridWeatherStationPilot4a","https://w3id.org/platoon/ForecastOfWindDirectionProperty"
"MicroGridWeatherStationPilot4a","https://w3id.org/seas/WindDirectionEvaluation"
"MicroGridWeatherStationPilot4a","https://w3id.org/platoon/ForecastOfPrecipitationProperty"
"MicroGridWeatherStationPilot4a","https://w3id.org/platoon/PrecipitationEvaluation"
"MicroGridWeatherStationPilot4a","https://w3id.org/platoon/ForecastOfCloudCoverProperty"
"MicroGridWeatherStationPilot4a","https://w3id.org/platoon/CloudCoverEvaluation"
"MicroGridWeatherStationPilot4a","https://w3id.org/platoon/ForecastOfCloudTypeProperty"
"MicroGridWeatherStationPilot4a","https://w3id.org/platoon/CloudTypeEvaluation"
