dataSource,dataSourceTitle,Classes
ANAG-Pilot3b,Building Data,"['https://w3id.org/def/saref4bldg#Building', 'https://w3id.org/platoon/NonResidentialBuilding']"
BS-Pilot3b,Building Systems,"['https://w3id.org/seas/BuildingDevice', 'https://w3id.org/def/saref4bldg#EnergyConversionDevice']"
CALE-Pilot3b,Calendar,['https://w3id.org/platoon/Calendar']
EC-SB-Pilot3b,Detailed Energy consumption,['https://w3id.org/seas/Evaluation']
EC-TOT-Pilot3b,Total Energy Consumption,['https://w3id.org/seas/Evaluation']
ENGIE-VUB-Pilot1a,Dedicated current measurement campaign,"['https://w3id.org/platoon/OnshoreWindTurbine', 'https://w3id.org/seas/ElectricPowerProperty', 'https://www.geonames.org/ontology#Point', 'http://www.opengis.net/ont/geosparql#Geometry', 'https://w3id.org/platoon/Substation', 'https://schema.org/Country', 'https://w3id.org/platoon/Anenometer', 'https://w3id.org/platoon/Nacelle', 'https://w3id.org/platoon/BottomBox', 'https://w3id.org/platoon/Blade', 'https://w3id.org/platoon/Hub', 'https://w3id.org/platoon/PitchSystem', 'https://w3id.org/platoon/CableUtil', 'https://w3id.org/platoon/Converter', 'https://w3id.org/platoon/CPU_And_DisplayUnit', 'https://w3id.org/platoon/DriveTrain', 'https://w3id.org/platoon/Gearbox', 'https://brickschema.org/schema/1.1/Brick#Oil', 'https://w3id.org/platoon/GearboxBearing', 'https://w3id.org/platoon/ElectricalGrid', 'https://w3id.org/platoon/Rotor', 'https://w3id.org/platoon/RotorBearing', 'https://w3id.org/platoon/Stator', 'https://w3id.org/platoon/StatorWinding', 'https://w3id.org/platoon/TopBox', 'https://w3id.org/platoon/Vane', 'https://w3id.org/platoon/GeneratorBearing', 'http://www.w3.org/2006/time#Interval', 'http://www.w3.org/2006/time#Instant', 'https://w3id.org/platoon/SlipRing', 'https://w3id.org/platoon/GeneratorFan', 'https://w3id.org/platoon/Rotor', 'https://saref.etsi.org/core/TemperatureSensor', 'https://w3id.org/platoon/InsulatedGateBipolarTransistor', 'https://w3id.org/platoon/InsulatedGateBipolarTransistorRack', 'https://w3id.org/platoon/InsulatedGateBipolarTransistorFan']"
FAULT-Pilot3b,Systems Fault,['https://w3id.org/platoon/Damage']
Flemish-banks-data-Pilot1a,Open wind speed data,"['https://w3id.org/seas/WindSpeedProperty', 'https://w3id.org/seas/WindDirectionEvaluation']"
High-frequency-accelerations-Pilot1a,Offshore measurement campaign,['https://w3id.org/platoon/WindFarm']
LLUC3a-01,Optimizing HVAC control regarding occupancy,"['https://w3id.org/bot#Building', 'https://w3id.org/bot#Zone', 'https://saref.etsi.org/core/Occupancy', 'https://w3id.org/platoon/OccupiedNumberEvaluation']"
LLUC3a-02,Providing Demand Response Service through HVAC control,"['https://w3id.org/bot#Building', 'https://w3id.org/platoon/ForecastOfAirTemperatureProperty', 'https://w3id.org/platoon/AirTemperatureEvaluation', 'https://w3id.org/platoon/ForecastOfCloudOpacityProperty', 'https://w3id.org/platoon/CloudOpacityEvaluation', 'https://w3id.org/bot#Zone', 'https://saref.etsi.org/core/Occupancy', 'https://w3id.org/platoon/OccupiedNumberEvaluation', 'http://www.w3.org/ns/prov#Activity', 'https://w3id.org/pep/ProcedureExecution', 'https://saref.etsi.org/core/TemperatureSensor', 'https://w3id.org/platoon/HeatingValve', 'https://w3id.org/platoon/CoolingValve', 'https://w3id.org/bot#Building', 'https://w3id.org/bot#Floor', 'https://w3id.org/seas/Zone', 'https://w3id.org/seas/ElectricityMeter', 'https://w3id.org/seas/GasMeter', 'https://w3id.org/platoon/HeatingGasEnergyConsumptionEvaluation', 'https://w3id.org/platoon/ElectricityEnergyConsumptionEvaluation']"
MANT-Pilot3b,Maintenance,['https://w3id.org/platoon/ScheduledMaintenance']
MicroGridBatteryPilot4a,Microgrid Battery,"['https://w3id.org/platoon/StorageSystem', 'https://w3id.org/seas/Battery']"
MicroGridPVPowerPilot4a,Microgrid PV power production and forecast,"['https://w3id.org/platoon/SmartMicroGrid', 'https://w3id.org/platoon/PhotovoltaicEnergyProductionProperty', 'https://w3id.org/platoon/PhotovoltaicEnergyProductionEvaluation', 'https://w3id.org/platoon/ForecastOfPhotovoltaicEnergyProductionProperty']"
MicroGridPWPPilot4a,Microgrid Potable Water Production,"['https://w3id.org/platoon/WaterProductionSystem', 'https://w3id.org/platoon/WaterSystem']"
MicroGridWeatherStationPilot4a,Microgrid weather parameters and weather station,"['https://w3id.org/seas/EducationalBuilding', 'https://w3id.org/platoon/ForecastOfAirTemperatureProperty', 'https://w3id.org/platoon/AirTemperatureEvaluation', 'https://w3id.org/seas/Forecast', 'https://w3id.org/platoon/ForecastOfSolarRadiationProperty', 'https://w3id.org/platoon/SolarRadiationEvaluation', 'https://w3id.org/platoon/ForecastOfWindSpeedProperty', 'https://w3id.org/seas/WindSpeedEvaluation', 'https://w3id.org/platoon/ForecastOfPressureProperty', 'https://w3id.org/seas/PressureEvaluation', 'https://w3id.org/platoon/ForecastOfWindDirectionProperty', 'https://w3id.org/seas/WindDirectionEvaluation', 'https://w3id.org/platoon/ForecastOfPrecipitationProperty', 'https://w3id.org/platoon/PrecipitationEvaluation', 'https://w3id.org/platoon/ForecastOfCloudCoverProperty', 'https://w3id.org/platoon/CloudCoverEvaluation', 'https://w3id.org/platoon/ForecastOfCloudTypeProperty', 'https://w3id.org/platoon/CloudTypeEvaluation']"
