class,altLabel
https://w3id.org/platoon/HydrogenStorageSystem,"""Hydrogen Hybrid Energy Storage System"""
https://w3id.org/platoon/ThermalStorageSystem,"""heat and power storage"""
https://w3id.org/platoon/InsulatedGateBipolarTransistors,"""IGBT"""
https://w3id.org/platoon/MainShaft,"""Low Speed Shaft"""
https://w3id.org/platoon/RotorConverter,"""RSC"""
https://w3id.org/platoon/RotorConverter,"""Rotor Side Converter"""
https://w3id.org/platoon/RotorWinding,"""Rotor Core"""
https://w3id.org/platoon/StatorWinding,"""Stator Core"""
https://w3id.org/platoon/AirHandlerUnit,"""AHU"""
https://w3id.org/platoon/BuildingManagementSystem,"""BMS"""
https://w3id.org/platoon/VariableRefrigerantVolume,"""VRV"""
https://w3id.org/platoon/VariableRefrigerantVolume,"""Variable refrigerant flow"""
http://semanco02.hs-albsig.de/repository/ontology-releases/eu/semanco/ontology/SEMANCO/SEMANCO.owl#PVSystem,"""Photovoltaic Plant"""
http://semanco02.hs-albsig.de/repository/ontology-releases/eu/semanco/ontology/SEMANCO/SEMANCO.owl#PVSystem,"""Photovoltaic Power Plant"""
http://semanco02.hs-albsig.de/repository/ontology-releases/eu/semanco/ontology/SEMANCO/SEMANCO.owl#PVSystem,"""Photovoltaic System"""
https://w3id.org/platoon/Alert,"""Alarm"""
https://w3id.org/platoon/BottomBox,"""Base Box""@en"
https://w3id.org/platoon/BottomBox,"""Connection Box""@en"
https://w3id.org/platoon/BottomBox,"""Power Box""@en"
https://w3id.org/platoon/HeatingSystem,"""Heating Plant"""
https://w3id.org/platoon/SolarRadiationProperty,"""Irradiance""@en"
https://w3id.org/platoon/WeatherVane,"""Weather Cock"""
https://w3id.org/platoon/WeatherVane,"""Wind Vane"""
https://w3id.org/platoon/PowerFactorProperty,"""Cos phi""@en"
https://w3id.org/platoon/ThermalEnergyConsumptionProperty,"""ThermalEnergy"""
https://w3id.org/platoon/ThermalEnergyLoadProperty,"""Thermal Power"""
https://w3id.org/platoon/CoolingSystem,"""Cooling Plant"""
https://w3id.org/platoon/CoolingSystem,"""Cooling Unit"""
https://w3id.org/platoon/CoolingSystem,"""Heat Exchanger"""
https://w3id.org/platoon/LoadInterruptionEvent,"""Demand Response Event"""
https://w3id.org/platoon/LoadInterruptionEvent,"""Load Shifting Event"""
https://w3id.org/platoon/DegratdationAlert,"""Degratdation Alarm"""
https://w3id.org/platoon/FailureAlert,"""Failure Alarm"""
https://w3id.org/platoon/NonTechnicalLossAlert,"""Non TechnicalLoss Alarm"""
https://w3id.org/platoon/CoolFeelingIndexProperty,"""Apparent temperature"""
https://w3id.org/platoon/CoolFeelingIndexProperty,"""Felt air temperature"""
https://w3id.org/platoon/CoolFeelingIndexProperty,"""Heat Index"""
https://w3id.org/platoon/CoolFeelingIndexProperty,"""feels likey"""
https://w3id.org/platoon/CoolFeelingIndexProperty,"""real feel"""
https://w3id.org/platoon/OffshoreWindTurbine,""""""
