class,label
http://www.w3.org/2002/07/owl#Thing,"""Thing"""
http://www.w3.org/2002/07/owl#Nothing,"""Nothing"""
https://w3id.org/platoon/ElectricGridSimulator,"""Electric Grid Simulator""@en"
https://w3id.org/platoon/ElectricVehiculeChargingStationGroup,"""Electric Vehicule Charging Station Group""@en"
https://w3id.org/platoon/ElectricalGrid,"""Electrical Grid""@en"
https://w3id.org/platoon/NetworkGoodProperty,"""Network Good Property""@en"
https://w3id.org/platoon/SmartMicroGrid,"""Smart Micro Grid""@en"
https://w3id.org/platoon/StorageSystem,"""Storage System""@en"
https://w3id.org/platoon/HydrogenPowerToPowerSystem,"""Hydrogen Power to Power System""@en"
https://w3id.org/platoon/HydrogenStorageSystem,"""Hydrogen Storage System""@en"
https://w3id.org/platoon/LithiumIonBattery,"""Lithium Ion Battery""@en"
https://w3id.org/platoon/OxygenStorageSystem,"""Oxygen Storage System""@en"
https://w3id.org/platoon/SolarStorageSystem,"""Solar Storage System""@en"
https://w3id.org/platoon/StorageGoodProperty,"""Storage Good Property""@en"
https://w3id.org/platoon/StorageNominalCapacityEvaluation,"""Storage Nominal Capacity Evaluation""@en"
https://w3id.org/platoon/StorageNominalCapacityProperty,"""Storage Nominal Capacity Property""@en"
https://w3id.org/platoon/ThermalStorageSystem,"""Thermal Storage System""@en"
https://w3id.org/platoon/CPUAndDisplayUnit,"""CPU And Display Unit""@en"
https://w3id.org/platoon/CableUtil,"""cable util""@en"
https://w3id.org/platoon/Converter,"""Converter""@en"
https://w3id.org/platoon/DoubleFedInductionGenerator,"""Double Fed Induction Generator""@en"
https://w3id.org/platoon/DriveEndBearing,"""Drive End Bearing""@en"
https://w3id.org/platoon/DriveTrain,"""Drive Train""@en"
https://w3id.org/platoon/ElectricalSubstation,"""Electrical Substation""@en"
https://w3id.org/platoon/GearboxBearing,"""Gearbox Bearing""@en"
https://w3id.org/platoon/GeneratorBearing,"""Generator Bearing""@en"
https://w3id.org/platoon/GeneratorCooling,"""Generator Cooling""@en"
https://w3id.org/platoon/GeneratorFan,"""Generator Fan""@en"
https://w3id.org/platoon/GeneratorWinding,""" Generator Winding ""@en"
https://w3id.org/platoon/HighSpeedShaft,"""High Speed Shaft""@en"
https://w3id.org/platoon/InductionGenerator,"""Induction Generator""@en"
https://w3id.org/platoon/InsulatedGateBipolarTransistorFan,"""Insulated-gate bipolar transistor (IGBT) Fan ""@en"
https://w3id.org/platoon/InsulatedGateBipolarTransistorRack,"""Insulated-gate bipolar transistor (IGBT) Rack""@en"
https://w3id.org/platoon/InsulatedGateBipolarTransistors,"""Insulated-gate bipolar transistors (IGBT)""@en"
https://w3id.org/platoon/MainBearing,"""Main Bearing""@en"
https://w3id.org/platoon/MainShaft,"""Main Shaft""@en"
https://w3id.org/platoon/Motor,"""Motor""@en"
https://w3id.org/platoon/NetworkConverter,"""Network Converter""@en"
https://w3id.org/platoon/NonDriveEndBearing,"""Non Drive End Bearing""@en"
https://w3id.org/platoon/OnshoreWindTurbine,"""Onshore Wind Turbine""@en"
https://w3id.org/platoon/PitchAngleEvaluation,"""Pitch Angle Evaluation""@en"
https://w3id.org/platoon/PitchAngleProperty,"""Pitch AngleProperty""@en"
https://w3id.org/platoon/PitchControl,"""Pitch Control""@en"
https://w3id.org/platoon/PitchMotor,"""Pitch Motor""@en"
https://w3id.org/platoon/PitchSystem,"""Pitch System""@en"
https://w3id.org/platoon/PowerConverter,"""Power Converter""@en"
https://w3id.org/platoon/RotorBearing,"""Rotor Bearing""@en"
https://w3id.org/platoon/RotorBrush,"""Rotor Brush""@en"
https://w3id.org/platoon/RotorConverter,"""Rotor Converter""@en"
https://w3id.org/platoon/RotorWinding,"""Rotor Winding""@en"
https://w3id.org/platoon/Shaft,"""Shaft""@en"
https://w3id.org/platoon/SlipRing,"""Slip Ring""@en"
https://w3id.org/platoon/Stator,"""Stator""@en"
https://w3id.org/platoon/StatorFrame,"""Stator Frame""@en"
https://w3id.org/platoon/StatorWinding,""" Stator Winding ""@en"
https://w3id.org/platoon/Substation,"""Substation""@en"
https://w3id.org/platoon/TopBox,"""Top Box""@en"
https://w3id.org/platoon/WindTurbineController,"""Controller""@en"
https://w3id.org/platoon/BuildingGroup,"""Building Group""@en"
https://w3id.org/platoon/Canteen,"""Canteen""@en"
https://w3id.org/platoon/ClimatePerformanceLabel,"""climate label"""
https://w3id.org/platoon/ClimateZone,"""Climate Zone""@en"
https://w3id.org/platoon/DataCenter,"""Data Center""@en"
https://w3id.org/platoon/DaylightSavingsStatusEvaluation,"""Day Light Savings Status Evaluation""@en"
https://w3id.org/platoon/DaylightSavingsStatusProperty,"""Daylight Savings Status Property""@en"
https://w3id.org/platoon/EnergyPerformanceLabel,"""energy label"""
https://w3id.org/platoon/IndoorZone,"""Indoor Zone""@en"
https://w3id.org/platoon/LogisticCenter,"""Logistic Center""@en"
https://w3id.org/platoon/OutdoorZone,"""Outdoor Zone""@en"
https://w3id.org/platoon/PerformanceLabel,"""Performance Label"""
https://w3id.org/platoon/Retail,"""Retail""@en"
https://w3id.org/platoon/TranformerCenter,"""Transformer Center""@en"
https://w3id.org/platoon/AirHandlerUnit,"""Air Handler Unit""@en"
https://w3id.org/platoon/BuildingManagementSystem,"""Building Management System""@en"
