class,label
https://w3id.org/platoon/hasConnectorGood1,"""has connector good1""@en"
https://w3id.org/platoon/hasConnectorGood2,"""has connector good2""@en"
https://w3id.org/platoon/hasConstructionDate,"""has construction cate""@en"
https://w3id.org/platoon/hasContractOperationDate,"""has contract operation  date""@en"
https://w3id.org/platoon/hasStatus,"""has status""@en"
https://w3id.org/platoon/status,"""status""@en"
https://w3id.org/platoon/concerns,"""concerns""@en"
https://w3id.org/platoon/hasFailure,"""has failure""@en"
https://w3id.org/platoon/hasMaintenance,"""has maintenance""@en"
https://w3id.org/platoon/hasMaintenanceAdvice,"""has maintenance advice""@en"
https://w3id.org/platoon/dayOfWeek,"""day of week""@en"
https://w3id.org/platoon/dayType,"""day Type""@en"
https://w3id.org/platoon/hasInstallationdate,"""has installation  date""@en"
https://w3id.org/platoon/hasNumber,"""has  number""@en"
https://w3id.org/platoon/hasStatusCodeName,"""has status code name ""@en"
https://w3id.org/platoon/hasOperatingStateMessage,"""has Operating State Message""@en"
