class,label
https://w3id.org/platoon/connectsAtGridSide,"""simulates""@en"
https://w3id.org/platoon/hasConnectorEfficiencyGood1to2,"""has connector efficiency Good1to2""@en"
https://w3id.org/platoon/hasConnectorEfficiencyGood2to1,"""has connector efficiency Good2to1""@en"
https://w3id.org/platoon/hasConnectorMaximumTransmissionPowerGood1,"""has connector maximum transmission power good 1""@en"
https://w3id.org/platoon/hasStorageGood,"""has Storage Good""@en"
https://w3id.org/platoon/hasStorageNominalCapacity,"""has Storage Nominal Capacity""@en"
https://w3id.org/platoon/stateOfChargeRatioSetpoint,"""state of charge ratio setpoint""@en"
https://w3id.org/platoon/hasAveragePitchAngle,"""has average pitch angle""@en"
https://w3id.org/platoon/hasInputOilAverageTemperature,"""has average temperature ""@en"
https://w3id.org/platoon/hasInputOilMaximumTemperature,"""has maximum temperature ""@en"
https://w3id.org/platoon/hasInputOilMinimumTemperature,"""has minimum temperature ""@en"
https://w3id.org/platoon/hasInputOilStandardDeviationTemperature,"""has standard deviation temperature ""@en"
https://w3id.org/platoon/hasMaximumPitchAngle,"""has maximum pitch angle""@en"
https://w3id.org/platoon/hasMinimumPitchAngle,"""has minimum pitch angle""@en"
https://w3id.org/platoon/hasPitchAngle,"""has pitch angle""@en"
https://w3id.org/platoon/hasPitchAngleSetpoint,"""has pitch angle setpoint""@en"
https://w3id.org/platoon/hasStandardDeviationPitchAngle,"""has standard deviation pitch angle""@en"
https://w3id.org/platoon/hasTemperatureGeneratorSide,"""has  temperature generator side""@en"
https://w3id.org/platoon/hasTemperatureRotorSide,"""has  temperature rotor side""@en"
https://w3id.org/platoon/energeticPerformanceClass,"""energetic performance class""@en"
https://w3id.org/platoon/hasDayLightSavingsStatus,"""has day light Savings Status""@en"
https://w3id.org/platoon/hasCoolingSystem,"""has cooling system""@en"
https://w3id.org/platoon/hasDomesticHotWaterSystem,"""has Domestic Hot Water System ""@en"
https://w3id.org/platoon/hasHeatingSystem,"""has heating system""@en"
https://w3id.org/platoon/hasLightingSystem,"""has lighting system ""@en"
https://w3id.org/platoon/hasPressureDrop,"""has pressure drop""@en"
https://w3id.org/platoon/hasVentilationSystem,"""has ventilation system""@en"
https://w3id.org/platoon/hasAcidity,"""has acidity""@en"
https://w3id.org/platoon/hasAntioxidantAdditives,"""has antioxidant additives""@en"
https://w3id.org/platoon/hasDeosAgingMarkers,"""has Deos aging markers""@en"
https://w3id.org/platoon/hasDielectricBreakdown,"""has dielectric breakdown""@en"
https://w3id.org/platoon/hasDissipationAndResistivityFactor,"""has dissipation and resistivity factor""@en"
https://w3id.org/platoon/hasDissolvedGasAnalysis,"""has dissolved gas analysist""@en"
https://w3id.org/platoon/hasFuranAnalysis,"""has furan analysis""@en"
https://w3id.org/platoon/hasInterfacialTension,"""has interfacial tension""@en"
https://w3id.org/platoon/hasCapacity,"""is capacity""@en"
https://w3id.org/platoon/hasRegisteredResource,"""has registered resource""@en"
https://w3id.org/platoon/isRegisteredOn,"""is registered on""@en"
https://w3id.org/platoon/offeredBy,"""offered by""@en"
https://w3id.org/platoon/offeredTo,"""offred to""@en"
https://w3id.org/platoon/operates,"""operates""@en"
https://w3id.org/platoon/hasActivePowerProduction,"""has active power production""@en"
https://w3id.org/platoon/hasActivePowerReference,"""has active power reference""@en"
https://w3id.org/platoon/hasActiveWork,"""has  active work ""@en"
https://w3id.org/platoon/hasApparentPower,"""has apparent power""@en"
https://w3id.org/platoon/hasApparentPowerProduction,"""has apparent power production""@en"
https://w3id.org/platoon/hasAverageActivePower,"""has average active power""@en"
https://w3id.org/platoon/hasAverageApparentPower,"""has average apparent power""@en"
https://w3id.org/platoon/hasAveragePhysicalPower,"""has  average physical power""@en"
https://w3id.org/platoon/hasAveragePowerFactor,"""has power average factor""@en"
https://w3id.org/platoon/hasAverageRCurrent,"""has average r current""@en"
https://w3id.org/platoon/hasAverageRNVoltage,"""has average voltage""@en"
https://w3id.org/platoon/hasAverageSCurrent,"""has average s current""@en"
https://w3id.org/platoon/hasAverageSNVoltage,"""has average voltage""@en"
https://w3id.org/platoon/hasAverageStatusPowerCurve,"""has average status power curve ""@en"
https://w3id.org/platoon/hasAverageTCurrent,"""has average t current""@en"
https://w3id.org/platoon/hasAverageTNVoltage,"""has average voltage""@en"
https://w3id.org/platoon/hasCapacityActivePower,"""has capacity active power""@en"
https://w3id.org/platoon/hasClimateCorrectedCoolingEnergyConsumption,"""has climate corrected cooling  energy consumption""@en"
https://w3id.org/platoon/hasCoolingElectricEnergyConsumption,"""has cooling electric energy consumption""@en"
https://w3id.org/platoon/hasCoolingElectricEnergyLoad,"""has Cooling Electric Energy Load""@en"
https://w3id.org/platoon/hasCoolingEnergyConsumption,"""has cooling electric energy consumption""@en"
https://w3id.org/platoon/hasCoolingGasEnergyConsumption,"""has Cooling gas energy consumption""@en"
https://w3id.org/platoon/hasDefaultCapacityActivePower,"""has default capacity active power""@en"
https://w3id.org/platoon/hasDomesticHotWaterElectricEnergyConsumption,"""has domestic hot water electric energy consumption""@en"
https://w3id.org/platoon/hasDomesticHotWaterGasEnergyConsumption,"""has domestic hot water gas energy consumption""@en"
https://w3id.org/platoon/hasElectricEnergyConsumption,"""has electric energy consumption""@en"
https://w3id.org/platoon/hasElectricEnergyLoad,"""has  electric energy load""@en"
https://w3id.org/platoon/hasElectricEnergyLoadDeviation,"""has electric energy load deviation""@en"
https://w3id.org/platoon/hasElectricPowerGenerationCapacity,"""electric power generation capacity""@en"
https://w3id.org/platoon/hasElectricalLoss,"""has electrical loss""@en"
https://w3id.org/platoon/hasEnergy,"""has  energy ""@en"
https://w3id.org/platoon/hasEnergyConsumption,"""has  energy consumption""@en"
https://w3id.org/platoon/hasEnergyLoad,"""has  energy load""@en"
https://w3id.org/platoon/hasEnergyProduction,"""has energy production""@en"
https://w3id.org/platoon/hasEstimatedLightingEnergyConsumption,"""has estimated lighting energy consumption""@en"
https://w3id.org/platoon/hasForecastOfCoolingElectricEnergyConsumptionProperty,"""has forecast Cooling Electric Energy Consumption Property""@en"
https://w3id.org/platoon/hasForecastOfElectricEnergyLoadProperty,"""has forecast of electric energy load property""@en"
https://w3id.org/platoon/hasForecastOfElectricEnergyProperty,"""has forecast of electric energy  property""@en"
https://w3id.org/platoon/hasForecastOfElectricPowerProperty,"""has forecast of electric power property""@en"
https://w3id.org/platoon/hasForecastOfEnergyConsumptionProperty,"""has forecast of energy consumption property""@en"
https://w3id.org/platoon/hasForecastOfHeatingElectricEnergyConsumptionProperty,"""has forecast of heating electric energy consumption property""@en"
https://w3id.org/platoon/hasForecastOfPhotovoltaicEnergyProductionProperty,"""has forecast of photovoltaic energy production property""@en"
https://w3id.org/platoon/hasForecastOfPowerProduction,"""has forecast of electric power production property""@en"
https://w3id.org/platoon/hasFrequencyGridSide,"""has frequency grid side ""@en"
https://w3id.org/platoon/hasGasEnergyConsumption,"""has gas energy consumption""@en"
https://w3id.org/platoon/hasHeatingElectricEnergyConsumption,"""has Heating Electric Energy Consumption""@en"
https://w3id.org/platoon/hasHeatingElectricEnergyLoad,"""has Heating Electric Energy Load""@en"
https://w3id.org/platoon/hasHeatingGasEnergyConsumption,"""has heating gas energy consumption""@en"
https://w3id.org/platoon/hasHighVoltageLimit,"""has high voltage limit""@en"
https://w3id.org/platoon/hasInputActivePower,"""has input active power""@en"
https://w3id.org/platoon/hasInputCurrent,"""has input current""@en"
https://w3id.org/platoon/hasInputPower,"""has input power""@en"
https://w3id.org/platoon/hasInputVoltage,"""has input voltage""@en"
https://w3id.org/platoon/hasLightingEnergyConsumption,"""has lighting energy consumption""@en"
https://w3id.org/platoon/hasLowVoltageLimit,"""has low voltage limit""@en"
https://w3id.org/platoon/hasMaximalCapacityActivePower,"""has maximal capacity active power""@en"
https://w3id.org/platoon/hasMaximumActivePower,"""has maximum active power""@en"
https://w3id.org/platoon/hasMaximumApparentPower,"""has maximum apparent power""@en"
https://w3id.org/platoon/hasMaximumPhysicalPower,"""has maximum physical power""@en"
https://w3id.org/platoon/hasMaximumPowerFactor,"""has power maximum factor""@en"
https://w3id.org/platoon/hasMaximumStatusPowerCurve,"""has maximum status power curve ""@en"
https://w3id.org/platoon/hasMinimalCapacityActivePower,"""has minimal capacity active power""@en"
https://w3id.org/platoon/hasMinimumActivePower,"""has minimum active power""@en"
https://w3id.org/platoon/hasMinimumApparentPower,"""has minimum apparent power ""@en"
https://w3id.org/platoon/hasMinimumPhysicalPower,"""has minimum physical power""@en"
https://w3id.org/platoon/hasMinimumPowerFactor,"""has power minimum factor""@en"
https://w3id.org/platoon/hasMinimumStatusPowerCurve,"""has minimum status power curve ""@en"
https://w3id.org/platoon/hasNegativeActiveWork,"""has negative active work ""@en"
